Node,X,Y
J-131,1655000.88,4943750.0
J-132,1653583.88,4943834.5
J-133,1653737.0,4944072.0
J-134,1654039.88,4943759.5
J-135,1654630.13,4943284.0
J-136,1654391.75,4942756.0
J-137,1654787.38,4943123.0
J-138,1653500.25,4945096.5
J-139,1652763.88,4945531.5
J-140,1650107.63,4944676.5
J-141,1650145.63,4944665.0
J-142,1650352.5,4944579.5
J-143,1650357.88,4944574.5
J-144,1650376.25,4944620.5
J-145,1650381.38,4944614.0
J-146,1651251.13,4944414.5
J-147,1651260.13,4944416.5
J-148,1651237.25,4944384.0
J-149,1651579.0,4944230.5
J-150,1651645.38,4944302.0
J-151,1652019.13,4944321.5
J-152,1652208.25,4944271.0
J-153,1652519.13,4944189.5
J-154,1651329.5,4943687.5
J-155,1652392.63,4943383.5
J-156,1652393.38,4943359.5
J-157,1653184.25,4943033.0
J-158,1654010.5,4942993.0
J-159,1654455.63,4942851.0
J-160,1654626.38,4942950.5
J-161,1654827.25,4943438.0
J-162,1654111.88,4943677.5
J-163,1654341.0,4943549.5
J-164,1653947.88,4943634.0
J-165,1653878.0,4943632.0
J-166,1655342.5,4944429.0
J-167,1655290.5,4944410.0
J-168,1655221.38,4944282.0
J-169,1654399.38,4944572.0
J-170,1653136.13,4944368.0
J-171,1653035.25,4944362.5
J-172,1653147.88,4944201.0
J-173,1653102.13,4944214.0
J-174,1655032.0,4945217.5
J-175,1655018.25,4945301.5
J-176,1655514.13,4945400.5
J-177,1655702.38,4945732.0
J-178,1655636.25,4945947.5
J-179,1655473.38,4946058.0
J-180,1655702.0,4945843.5
J-181,1655004.88,4946866.0
J-182,1654848.63,4946920.0
J-183,1654504.88,4947010.0
J-184,1654147.63,4947127.5
J-185,1654320.63,4946836.0
J-186,1654196.13,4946476.5
J-187,1653374.0,4946313.5
J-188,1654034.0,4946220.5
J-189,1653117.88,4945984.5
J-190,1652987.5,4945869.0
J-191,1652919.5,4945750.5
J-192,1652879.75,4945759.5
J-193,1652625.5,4947099.5
J-194,1652295.38,4946618.5
J-195,1652739.13,4946283.5
J-196,1652044.5,4946708.5
J-197,1652433.0,4945703.0
J-198,1652664.75,4945450.0
J-199,1652626.63,4945439.5
J-200,1652531.63,4945339.5
J-201,1652665.13,4945336.0
J-202,1652217.38,4945696.5
J-203,1652211.63,4945412.0
J-204,1652469.38,4945212.5
J-205,1652212.0,4945062.5
J-206,1651102.75,4946039.0
J-207,1650501.5,4946742.5
J-208,1650496.13,4946770.0
J-209,1650076.63,4946503.5
J-210,1649932.25,4946560.5
J-211,1649851.13,4946001.0
J-212,1649984.88,4945956.0
J-213,1649627.88,4945098.0
J-214,1650151.88,4944850.0
J-215,1649929.63,4944395.0
J-216,1650210.88,4944252.0
J-217,1650325.75,4943930.5
J-218,1652407.25,4944555.5
J-219,1652869.63,4945446.5
J-220,1654186.38,4945631.5
J-221,1652715.75,4945564.5
J-222,1654757.0,4943407.5
J-223,1655204.38,4945090.0
J-224,1655307.38,4945032.5
J-225,1655520.5,4945027.5
J-226,1655510.63,4945305.5
J-227,1655546.63,4945480.0
J-228,1655316.13,4946179.0
J-229,1655280.25,4946245.5
J-230,1651133.0,4944753.0
J-231,1651333.63,4946515.0
J-232,1651621.0,4946776.5
J-233,1652620.25,4945096.5
J-234,1653535.38,4945415.0
J-235,1653638.5,4945351.5
J-236,1654106.25,4945524.0
J-237,1653382.38,4945500.0
J-238,1653496.88,4944266.0
J-239,1653901.25,4943949.0
J-240,1654462.38,4943456.5
J-241,1655230.88,4944258.0
J-242,1655162.75,4944163.0
J-243,1654925.75,4944801.0
J-244,1654858.25,4944795.0
J-245,1655479.0,4944922.5
J-246,1655494.88,4944873.0
J-247,1654742.88,4946936.5
J-248,1653702.88,4947431.0
J-249,1652127.0,4945847.0
J-250,1652323.25,4945747.5
J-251,1651497.63,4944781.5
J-252,1650826.88,4944939.5
J-253,1650026.0,4946453.5
J-254,1653025.75,4943589.5
J-255,1653405.25,4943607.0
J-256,1654542.0,4946550.0
J-257,1651141.13,4944445.0
J-258,1650052.63,4944638.0
J-259,1650012.63,4944551.5
J-260,1649989.63,4944541.5
J-261,1650020.38,4944365.0
J-262,1650106.88,4944325.5
J-263,1650209.75,4944195.5
J-264,1650017.88,4946758.0
J-265,1652260.88,4945816.5
J-266,1652433.0,4943954.0
J-267,1652708.25,4944155.0
J-268,1653541.75,4944409.5
T-269,1654257.63,4946332.5
T-270,1650149.75,4946528.5
T-271,1650191.75,4944416.5
T-272,1654428.63,4942467.0
