Node,Consumption
J-276,0.9
J-278,0.7
J-279,1.9
J-282,3.2
J-283,3.5
J-284,0.3
J-285,0.4
J-286,0.8
J-287,0.6
J-288,0.0
J-289,1.1
J-290,0.0
J-300,3.7
J-301,0.9
J-302,2.5
J-303,1.3
J-304,1.8
J-305,0.8
J-308,2.4
J-309,2.1
J-314,1.5
J-315,1.0
J-322,0.3
J-323,0.6
J-324,0.7
J-327,0.6
J-328,0.0
J-329,0.0
J-330,3.4
J-331,0.2
J-332,1.5
J-333,1.3
J-334,3.2
J-336,2.0
J-337,0.6
J-338,0.5
J-339,0.0
J-340,0.8
J-341,2.3
J-344,2.8
J-347,2.1
J-348,0.5
J-349,1.6
J-350,0.4
J-353,3.9
J-354,0.6
J-355,2.4
J-356,0.1
J-358,3.8
J-359,0.4
J-369,3.1
J-378,3.3
J-380,0.0
J-385,1.4
J-392,4.9
J-398,0.8
J-399,2.5
J-400,0.7
J-403,2.0
J-408,0.0
J-409,1.1
J-410,0.1
J-415,2.5
J-420,1.1
J-427,0.1
J-432,1.2
J-433,0.7
J-437,0.0
J-442,0.3
J-443,0.6
J-447,0.0
J-455,2.0
J-456,0.8
J-457,0.4
J-458,0.2
J-460,0.1
J-461,0.0
J-464,0.5
J-465,1.5
J-468,1.4
J-470,0.0
J-472,1.0
J-473,0.7
J-474,0.5
J-475,3.3
J-478,3.5
J-479,0.3
J-481,2.2
J-486,0.0
J-489,0.6
J-490,1.2
J-491,0.4
J-492,0.3
J-503,0.1
J-509,0.7
J-511,0.0
J-522,0.5
J-523,0.9
J-524,1.8
J-527,3.2
J-530,3.4
J-531,1.5
J-555,1.6
J-556,0.2
J-558,0.0
J-559,0.4
J-562,0.8
J-605,1.0
J-609,1.2
J-612,2.0
J-613,1.7
J-658,0.1
J-659,0.2
J-660,0.1
J-661,0.1
J-674,2.2
J-675,0.7
J-695,0.3
J-719,3.4
J-720,1.4
J-721,2.4
J-722,1.6
J-726,1.5
J-727,0.2
J-732,0.0
J-733,1.6
J-754,0.4
J-755,0.3
J-773,1.7
J-774,0.3
J-777,0.2
J-778,0.3
J-787,0.6
J-788,1.2
J-791,0.6
J-792,2.6
J-830,0.7
J-831,2.0
J-839,1.0
J-840,0.6
J-852,0.1
J-861,4.1
J-862,3.3
J-881,2.0
J-882,2.9
J-885,0.0
J-916,0.2
J-919,0.3
J-933,1.3
J-934,0.4
J-969,0.3
J-970,0.8
J-988,1.0
J-989,0.3
J-1000,0.8
J-1001,0.3
J-1004,0.8
J-1005,1.6
J-1006,1.0
J-1026,0.8
J-1027,0.5
J-1044,2.6
J-1053,1.4
J-1054,0.3
J-1060,0.2
J-1061,0.3
J-1071,0.4
J-1072,1.4
J-1092,1.7
J-1102,0.1
J-1103,1.3
J-1107,0.8
J-1177,1.1
J-1179,0.8
J-1180,3.7
J-1182,5.4
J-1183,1.5
J-1187,1.4
J-1194,2.6
J-1198,3.3
J-1199,4.4
J-1207,0.0
J-1214,2.8
J-1217,3.2
J-1224,1.9
J-1234,1.7
J-1235,5.5
J-1238,1.1
J-1243,0.9
J-1244,2.4
J-1245,2.4
J-1260,0.2
J-1264,0.8
J-1265,4.1
J-1271,0.8
J-1276,0.8
J-1277,2.4
J-1300,1.4
J-1301,2.3
J-1302,0.0
J-1311,1.8
J-1351,0.1
J-1363,0.1
J-1367,1.7
J-1394,0.5
J-1410,0.1
J-1411,1.6
J-1416,2.2
J-1426,0.1
J-1427,0.7
J-1431,0.8
J-1432,1.2
J-1447,0.6
J-1448,1.1
J-1457,1.7
J-1474,2.1
J-1480,0.1
J-1481,0.4
J-1488,5.6
J-1489,0.9
J-1527,0.3
J-1528,0.4
J-1531,5.0
J-1535,1.2
J-1546,0.1
J-1556,0.1
J-1557,0.4
J-1564,0.3
J-1565,0.1
J-1569,4.4
J-1570,1.9
J-1572,1.4
J-1590,1.8
J-1592,0.3
J-1593,0.3
J-1596,1.1
J-1599,0.5
J-1600,0.3
J-1601,1.5
J-1606,0.7
J-1611,1.4
J-1619,0.6
J-1620,0.6
J-1624,0.8
J-1625,3.2
J-1628,0.1
J-1629,2.1
J-1646,0.4
J-1647,0.0
J-1652,0.0
J-1654,3.1
J-1655,1.0
J-1656,0.1
J-1672,2.2
J-1680,0.2
J-1689,0.1
J-1690,0.6
J-1708,5.7
J-1733,1.2
J-1734,5.0
J-1736,1.5
J-1742,2.5
J-1743,1.8
J-1748,2.3
J-1752,4.1
J-1757,6.4
J-1758,4.8
J-1771,3.6
J-1772,1.1
J-1774,3.6
J-1776,0.1
J-1777,1.8
J-1781,1.8
J-1782,2.9
J-1783,1.1
J-1786,1.9
J-1787,1.7
J-1799,0.1
J-1800,0.1
J-1812,0.1
J-1813,1.7
J-1814,0.9
J-1815,4.9
J-1820,0.4
J-1821,1.2
J-1822,0.1
J-1823,0.0
J-1825,0.3
J-1826,0.1
J-1827,1.2
J-1828,0.1
J-1829,0.1
J-1837,1.1
J-1838,1.0
J-1842,0.3
J-1843,0.2
J-1849,0.0
J-1850,0.8
J-1851,4.5
J-1856,0.0
J-1857,1.3
J-1858,0.4
J-1859,0.3
J-1862,0.3
J-1865,1.2
J-1866,6.3
J-1892,1.1
J-1902,3.3
J-1903,0.8
J-1908,0.5
J-1909,0.4
J-1910,0.0
J-1911,0.5
J-1912,0.5
J-1913,0.2
J-1914,4.4
J-1916,1.0
J-1923,0.5
J-1924,0.0
J-1928,1.1
J-1929,1.1
J-1930,0.3
J-1931,0.2
J-1936,0.8
J-1938,2.9
J-1939,0.1
J-1940,3.5
J-1941,0.1
J-1946,6.4
J-1947,1.1
J-1948,0.9
J-1951,3.4
J-1956,1.2
J-1957,2.2
J-1960,1.2
J-1961,2.4
J-1962,0.5
J-1964,0.0
J-1967,0.6
J-1968,0.6
J-1969,0.5
J-1970,0.5
J-1974,0.3
J-1982,0.5
J-1983,0.4
J-2038,0.2
J-2039,0.0
J-2048,0.2
J-2049,0.3
J-2056,0.1
J-2057,1.4
J-2066,0.0
J-2067,1.2
J-2068,1.1
J-2074,0.0
J-2075,0.0
J-2076,0.7
J-2080,1.2
J-2081,1.2
J-2100,3.7
J-2101,6.5
J-2106,0.3
J-2109,0.8
J-2116,1.2
J-2123,1.1
J-2124,1.3
J-2153,0.6
J-2154,0.6
J-2161,0.1
J-2162,0.0
J-2163,0.7
J-2164,2.0
J-2165,0.1
J-2172,1.1
J-2176,2.9
J-2177,2.5
J-2188,5.5
J-2191,0.4
J-2193,0.7
J-2194,0.7
J-2200,1.3
J-2202,0.6
J-2203,0.8
J-2204,0.6
J-2207,1.3
J-2208,0.3
J-2214,0.1
J-2215,0.3
J-2216,0.0
J-2227,0.8
J-2228,0.4
J-2233,1.4
J-2234,0.2
J-2238,1.0
J-2249,4.3
J-2252,1.6
J-2256,0.0
J-2258,1.4
J-2264,1.1
J-2265,0.9
J-2277,0.0
J-2278,0.8
J-2280,0.8
J-2285,1.2
J-2287,1.2
J-2288,2.9
J-2291,1.1
J-2301,2.7
J-2306,1.4
J-2307,1.1
J-2313,0.0
J-2319,3.9
J-2322,1.3
J-2330,0.1
J-2333,1.2
J-2334,3.2
J-2344,2.6
J-2349,0.4
J-2350,0.4
J-2353,0.4
J-2367,4.9
J-2369,1.0
J-2370,1.4
J-2371,0.0
J-2372,2.4
J-2383,1.9
J-2384,1.0
J-2386,0.9
J-2390,0.1
J-2394,1.2
J-2397,1.7
J-2405,3.0
J-2409,5.6
J-2418,1.1
J-2419,4.2
J-2421,6.6
J-2425,1.2
J-2428,3.7
J-2429,0.5
J-2434,3.5
J-2441,0.6
J-2442,1.2
J-2443,2.5
J-2444,0.3
J-2445,0.2
J-2446,1.1
J-2447,0.1
J-2451,4.4
J-2452,0.9
J-2460,1.1
J-2461,2.7
J-2464,3.1
J-2465,0.1
J-2490,0.5
J-2492,0.6
J-2497,1.5
J-2500,2.9
J-2501,2.3
J-2505,0.8
J-2507,2.6
J-2508,1.6
J-2517,0.1
J-2524,1.9
J-2530,4.1
J-2533,0.8
J-2536,1.7
J-2540,2.3
J-2541,1.5
J-2547,0.4
J-2557,0.4
J-2560,1.0
J-2562,1.5
J-2569,0.1
J-2570,2.5
J-2572,1.0
J-2573,0.1
J-2574,1.7
J-2575,0.1
J-2576,0.4
J-2578,1.1
J-2583,0.4
J-2586,2.1
J-2589,0.1
J-2590,0.1
J-2597,0.8
J-2598,0.1
J-2599,5.6
J-2600,0.1
J-2602,0.4
J-2604,10.2
J-2615,0.3
J-2616,0.1
J-2628,0.2
J-2631,1.3
J-2634,0.9
J-2638,0.3
J-2639,0.2
J-2641,0.0
J-2642,1.6
J-2645,1.4
J-2650,0.4
J-2657,0.6
J-2661,1.3
J-2662,4.4
J-2663,2.0
J-2664,2.8
J-2665,0.1
J-2669,1.3
J-2670,1.5
J-2671,5.9
J-2672,5.9
J-2674,1.1
J-2675,5.1
J-2676,8.3
J-2721,2.1
J-2725,4.8
J-2727,3.5
J-2728,1.8
J-2741,0.2
J-2749,0.8
J-2750,1.6
J-2764,3.0
J-2767,0.0
J-2776,1.6
J-2777,2.5
J-2778,0.9
J-2783,0.0
J-2784,0.1
J-2785,0.2
J-2787,0.3
J-2790,1.6
J-2792,0.1
J-2794,6.2
J-2795,1.7
J-2801,2.4
J-2802,2.0
J-2805,1.7
J-2808,3.5
J-2809,1.3
J-2811,1.7
J-2818,6.7
J-2819,3.6
J-2827,3.3
J-2828,4.1
J-2829,6.4
J-2832,2.4
J-2833,1.7
J-2835,3.6
J-2838,0.9
J-2850,0.1
J-2854,0.8
J-2856,3.4
J-2861,3.2
J-2864,1.7
J-2875,1.3
J-2876,1.4
J-2878,0.9
J-2883,1.0
J-2884,0.6
J-2889,1.9
J-2890,2.4
J-2894,1.7
J-2895,0.2
J-2896,0.2
J-2898,1.1
J-2899,0.7
J-2902,0.8
J-2904,1.0
J-2905,1.4
J-2911,5.8
J-2915,1.9
J-2919,2.1
J-2920,2.0
J-2922,0.1
J-2923,0.3
J-2927,5.2
J-2929,0.1
J-2935,4.2
J-2938,1.8
J-2951,3.9
J-2961,2.9
J-2962,0.5
J-2963,3.5
J-2968,1.3
J-2973,6.2
J-2976,3.1
J-2977,0.3
J-2978,0.6
J-2981,0.3
J-2983,6.2
J-2989,3.0
J-2993,4.0
J-2996,3.0
J-2997,3.0
J-3003,7.7
J-3004,8.0
J-3005,2.2
J-3020,1.9
J-3021,2.1
J-3044,6.9
J-3045,4.6
J-3050,4.0
J-3052,0.4
J-3053,2.8
J-3054,1.1
J-3055,2.7
J-3056,2.6
J-3063,5.1
J-3064,6.5
J-3071,0.8
J-3076,2.7
J-3077,3.3
J-3082,0.2
J-3092,2.4
J-3094,5.8
J-3095,10.6
J-3096,1.4
J-3097,0.2
J-3099,2.7
J-3100,2.3
J-3104,1.7
J-3105,2.4
J-3112,2.2
J-3113,2.6
J-3115,2.7
J-3124,1.6
J-3127,1.1
J-3128,0.3
J-3149,1.9
J-3152,5.1
J-3154,0.2
J-3155,3.4
J-3159,0.6
J-3161,2.0
J-3167,2.1
J-3168,2.0
J-3171,0.2
J-3175,0.2
J-3176,0.1
J-3178,1.1
J-3179,2.8
J-3182,3.3
J-3183,4.0
J-3186,0.7
J-3187,2.1
J-3194,1.5
J-3196,1.1
J-3203,6.8
J-3204,0.3
J-3205,9.1
J-3206,8.9
J-3207,4.1
J-3208,4.4
J-3213,4.3
J-3214,3.8
J-3215,4.0
J-3217,2.6
J-3225,6.2
J-3227,2.2
J-3228,7.9
J-3230,3.2
J-3231,3.8
J-3232,2.4
J-3233,2.8
J-3241,3.6
J-3243,3.1
J-3244,0.2
J-3245,2.8
J-3246,2.6
J-3247,0.8
J-3249,4.0
J-3259,4.5
J-3260,3.7
J-3262,4.3
J-3264,3.7
J-3265,3.3
J-3266,4.5
J-3268,0.3
J-3270,0.6
J-3273,5.0
J-3277,6.3
J-3280,4.9
J-3281,2.9
J-3282,0.4
J-3283,3.1
J-3284,1.2
J-3285,2.3
J-3286,12.6
J-3287,2.6
J-3288,2.3
J-3289,4.1
J-3290,1.0
J-3291,0.4
J-3298,4.3
J-3304,0.5
J-3309,4.0
J-3310,5.6
J-3312,5.1
J-3315,3.3
J-3316,3.6
J-3317,3.8
J-3318,3.2
J-3325,1.0
J-3326,1.6
J-3328,3.4
J-3329,1.0
J-3334,1.8
J-3335,3.2
J-3336,2.1
J-3337,0.5
J-3338,2.1
J-3346,0.1
J-3347,0.1
J-3348,0.0
J-3349,1.1
T-5,0.0
T-1,0.0
